qtr,time_remaining,distance,homekick,offscore,defscore,fg_made
1,47,30,0,0,3,1
1,54,46,0,0,0,1
1,45,28,1,7,0,1
1,45,37,1,14,0,1
1,50,39,1,0,0,1
1,50,40,1,0,3,1
1,46,23,0,0,0,1
1,52,26,0,0,0,1
1,46,38,0,0,3,1
1,49,45,0,0,7,1
1,48,44,0,3,7,1
1,55,34,0,0,0,1
1,51,43,0,0,0,1
1,45,51,0,3,0,1
1,45,51,0,0,0,1
1,45,24,1,7,3,1
1,53,40,1,0,0,1
1,45,50,1,7,0,0
1,56,45,0,0,0,1
1,51,47,0,3,0,1
1,56,34,0,7,0,1
1,53,19,1,0,0,1
1,53,21,1,0,0,1
1,47,47,1,0,3,1
1,47,24,0,0,7,1
1,45,30,0,0,7,1
1,50,47,0,0,0,1
1,53,20,0,0,0,1
1,56,48,0,0,0,0
1,55,23,1,0,0,1
1,46,51,1,3,0,1
1,49,51,0,0,7,1
1,55,22,1,0,0,1
1,48,24,1,7,0,1
1,54,32,1,0,0,1
1,51,27,0,7,7,1
1,49,26,0,0,7,1
1,47,31,0,7,0,1
1,56,23,1,0,0,1
1,51,26,1,0,0,1
1,54,29,1,0,0,1
1,55,39,1,0,0,1
1,47,46,1,0,7,1
1,46,48,1,3,0,1
1,46,33,0,0,7,1
1,49,42,0,7,0,1
1,50,35,0,0,0,1
1,45,40,0,3,7,1
1,53,26,0,3,7,1
1,45,37,0,6,7,0
1,58,37,0,0,0,1
1,45,22,0,7,3,1
1,51,22,1,7,0,1
1,54,31,1,0,0,0
1,47,36,1,7,0,0
1,56,40,0,0,0,1
